M,N,K
6728, 160, 6144
3373, 3584, 6144
3373, 6144, 3072
3373, 160, 6144
3231, 3584, 6144
3231, 6144, 3072
3231, 160, 6144
6553, 3584, 6144
6553, 6144, 3072
6553, 160, 6144
3451, 3584, 6144
3451, 6144, 3072
3451, 160, 6144
3146, 3584, 6144
3146, 6144, 3072
3146, 160, 6144
3387, 3584, 6144
3387, 6144, 3072
3387, 160, 6144
3402, 3584, 6144
3402, 6144, 3072
3402, 160, 6144
3407, 3584, 6144
3407, 6144, 3072
3407, 160, 6144
9630, 3584, 6144
9630, 6144, 3072
9630, 160, 6144
3301, 3584, 6144
3301, 6144, 3072
3301, 160, 6144
3296, 3584, 6144
3296, 6144, 3072
3296, 160, 6144
3441, 3584, 6144
3441, 6144, 3072
3441, 160, 6144
6620, 3584, 6144
6620, 6144, 3072
6620, 160, 6144
6958, 3584, 6144
6958, 6144, 3072
6958, 160, 6144
3478, 3584, 6144
3478, 6144, 3072
3478, 160, 6144
3283, 3584, 6144
3283, 6144, 3072
3283, 160, 6144
3318, 3584, 6144
3318, 6144, 3072
3318, 160, 6144
3357, 3584, 6144
3357, 6144, 3072
3357, 160, 6144
3333, 3584, 6144
3333, 6144, 3072
3333, 160, 6144
3332, 3584, 6144
3332, 6144, 3072
3332, 160, 6144
3127, 3584, 6144
3127, 6144, 3072
3127, 160, 6144
3551, 3584, 6144
3551, 6144, 3072
3551, 160, 6144
3540, 3584, 6144
3540, 6144, 3072
3540, 160, 6144
3642, 3584, 6144
3642, 6144, 3072
3642, 160, 6144
3439, 3584, 6144
3439, 6144, 3072
3439, 160, 6144
3525, 3584, 6144
3525, 6144, 3072
3525, 160, 6144
3658, 3584, 6144
3658, 6144, 3072
3658, 160, 6144
3232, 3584, 6144
3232, 6144, 3072
3232, 160, 6144
3356, 3584, 6144
3356, 6144, 3072
3356, 160, 6144
3362, 3584, 6144
3362, 6144, 3072
3362, 160, 6144
3438, 3584, 6144
3438, 6144, 3072
3438, 160, 6144
3399, 3584, 6144
3399, 6144, 3072
3399, 160, 6144
3595, 3584, 6144
3595, 6144, 3072
3595, 160, 6144
3493, 3584, 6144
3493, 6144, 3072
3493, 160, 6144
6761, 3584, 6144
6761, 6144, 3072
6761, 160, 6144
3428, 3584, 6144
3428, 6144, 3072
3428, 160, 6144
3345, 3584, 6144
3345, 6144, 3072
3345, 160, 6144
3250, 3584, 6144
3250, 6144, 3072
3250, 160, 6144
3502, 3584, 6144
3502, 6144, 3072
3502, 160, 6144
6346, 3584, 6144
6346, 6144, 3072
6346, 160, 6144
3384, 3584, 6144
3384, 6144, 3072
3384, 160, 6144
75, 37984, 6144
6873, 3584, 6144
6873, 6144, 3072
6873, 160, 6144
10267, 3584, 6144
10267, 6144, 3072
10267, 160, 6144
3243, 3584, 6144
3243, 6144, 3072
3243, 160, 6144
3081, 3584, 6144
3081, 6144, 3072
3081, 160, 6144
3401, 3584, 6144
3401, 6144, 3072
3401, 160, 6144
3562, 3584, 6144
3562, 6144, 3072
3562, 160, 6144
6798, 3584, 6144
6798, 6144, 3072
6798, 160, 6144
3331, 3584, 6144
3331, 6144, 3072
3331, 160, 6144
3219, 3584, 6144
3219, 6144, 3072
3219, 160, 6144
3165, 3584, 6144
3165, 6144, 3072
3165, 160, 6144
3120, 3584, 6144
3120, 6144, 3072
3120, 160, 6144
3298, 3584, 6144
3298, 6144, 3072
3298, 160, 6144
3311, 3584, 6144
3311, 6144, 3072
3311, 160, 6144
3191, 3584, 6144
3191, 6144, 3072
3191, 160, 6144
3344, 3584, 6144
3344, 6144, 3072
3344, 160, 6144
6597, 3584, 6144
6597, 6144, 3072
6597, 160, 6144
3300, 3584, 6144
3300, 6144, 3072
3300, 160, 6144
6493, 3584, 6144
6493, 6144, 3072
6493, 160, 6144
3440, 3584, 6144
3440, 6144, 3072
3440, 160, 6144
3419, 3584, 6144
3419, 6144, 3072
3419, 160, 6144
6523, 3584, 6144
6523, 6144, 3072
6523, 160, 6144
6500, 3584, 6144
6500, 6144, 3072
6500, 160, 6144
3119, 3584, 6144
3119, 6144, 3072
3119, 160, 6144
3404, 3584, 6144
3404, 6144, 3072
3404, 160, 6144
3129, 3584, 6144
3129, 6144, 3072
3129, 160, 6144
6606, 3584, 6144
6606, 6144, 3072
6606, 160, 6144
6793, 3584, 6144
6793, 6144, 3072
6793, 160, 6144
3397, 3584, 6144
3397, 6144, 3072
3397, 160, 6144
3545, 3584, 6144
3545, 6144, 3072
3545, 160, 6144
3276, 3584, 6144
3276, 6144, 3072
3276, 160, 6144
3246, 3584, 6144
3246, 6144, 3072
3246, 160, 6144
3291, 3584, 6144
3291, 6144, 3072
3291, 160, 6144
6638, 3584, 6144
6638, 6144, 3072
6638, 160, 6144
3199, 3584, 6144
3199, 6144, 3072
3199, 160, 6144
3512, 3584, 6144
3512, 6144, 3072
3512, 160, 6144
3447, 3584, 6144
3447, 6144, 3072
3447, 160, 6144
74, 37984, 6144
73, 37984, 6144
71, 37984, 6144
70, 37984, 6144
68, 37984, 6144
67, 37984, 6144
66, 37984, 6144
64, 37984, 6144
63, 37984, 6144
62, 37984, 6144
61, 37984, 6144
60, 37984, 6144
59, 37984, 6144
58, 37984, 6144
57, 37984, 6144
56, 37984, 6144
55, 37984, 6144
54, 37984, 6144
53, 37984, 6144
52, 37984, 6144
51, 37984, 6144
50, 37984, 6144
49, 37984, 6144
48, 37984, 6144
47, 37984, 6144
45, 37984, 6144
43, 37984, 6144
42, 37984, 6144
41, 37984, 6144
40, 37984, 6144
39, 37984, 6144
38, 37984, 6144
37, 37984, 6144
36, 37984, 6144
35, 37984, 6144
33, 37984, 6144
32, 37984, 6144
31, 37984, 6144
30, 37984, 6144
29, 37984, 6144
28, 37984, 6144
27, 37984, 6144
26, 37984, 6144
25, 37984, 6144
23, 37984, 6144
21, 37984, 6144
20, 37984, 6144
18, 37984, 6144
17, 37984, 6144
15, 37984, 6144
14, 37984, 6144
13, 37984, 6144
12, 37984, 6144
11, 37984, 6144
10, 37984, 6144
9, 37984, 6144
8, 37984, 6144
7, 37984, 6144
6, 37984, 6144
5, 37984, 6144
32905, 3584, 6144
32905, 6144, 3072
32905, 160, 6144
72872, 3584, 6144
72872, 6144, 3072
72872, 160, 6144
100, 37984, 6144
99, 37984, 6144
3544, 3584, 6144
3544, 6144, 3072
3544, 160, 6144
98, 37984, 6144
6811, 3584, 6144
6811, 6144, 3072
6811, 160, 6144
3284, 3584, 6144
3284, 6144, 3072
3284, 160, 6144
3686, 3584, 6144
3686, 6144, 3072
3686, 160, 6144
3618, 3584, 6144
3618, 6144, 3072
3618, 160, 6144
3678, 3584, 6144
3678, 6144, 3072
3678, 160, 6144
3533, 3584, 6144
3533, 6144, 3072
3533, 160, 6144
3268, 3584, 6144
3268, 6144, 3072
3268, 160, 6144
3683, 3584, 6144
3683, 6144, 3072
3683, 160, 6144
3355, 3584, 6144
3355, 6144, 3072
3355, 160, 6144
3518, 3584, 6144
3518, 6144, 3072
3518, 160, 6144
3370, 3584, 6144
3370, 6144, 3072
3370, 160, 6144
3487, 3584, 6144
3487, 6144, 3072
3487, 160, 6144
3452, 3584, 6144
3452, 6144, 3072
3452, 160, 6144
97, 37984, 6144
6939, 3584, 6144
6939, 6144, 3072
6939, 160, 6144
3293, 3584, 6144
3293, 6144, 3072
3293, 160, 6144
3375, 3584, 6144
3375, 6144, 3072
3375, 160, 6144
3675, 3584, 6144
3675, 6144, 3072
3675, 160, 6144
3498, 3584, 6144
3498, 6144, 3072
3498, 160, 6144
3460, 3584, 6144
3460, 6144, 3072
3460, 160, 6144
3281, 3584, 6144
3281, 6144, 3072
3281, 160, 6144
95, 37984, 6144
6700, 3584, 6144
6700, 6144, 3072
6700, 160, 6144
10108, 3584, 6144
10108, 6144, 3072
10108, 160, 6144
3233, 3584, 6144
3233, 6144, 3072
3233, 160, 6144
6536, 3584, 6144
6536, 6144, 3072
6536, 160, 6144
3492, 3584, 6144
3492, 6144, 3072
3492, 160, 6144
6701, 3584, 6144
6701, 6144, 3072
6701, 160, 6144
3564, 3584, 6144
3564, 6144, 3072
3564, 160, 6144
3201, 3584, 6144
3201, 6144, 3072
3201, 160, 6144
3328, 3584, 6144
3328, 6144, 3072
3328, 160, 6144
3386, 3584, 6144
3386, 6144, 3072
3386, 160, 6144
96, 37984, 6144
6840, 3584, 6144
6840, 6144, 3072
6840, 160, 6144
6556, 3584, 6144
6556, 6144, 3072
6556, 160, 6144
3295, 3584, 6144
3295, 6144, 3072
3295, 160, 6144
6358, 3584, 6144
6358, 6144, 3072
6358, 160, 6144
3330, 3584, 6144
3330, 6144, 3072
3330, 160, 6144
6910, 3584, 6144
6910, 6144, 3072
6910, 160, 6144
3539, 3584, 6144
3539, 6144, 3072
3539, 160, 6144
3410, 3584, 6144
3410, 6144, 3072
3410, 160, 6144
3212, 3584, 6144
3212, 6144, 3072
3212, 160, 6144
3524, 3584, 6144
3524, 6144, 3072
3524, 160, 6144
3240, 3584, 6144
3240, 6144, 3072
3240, 160, 6144
6640, 3584, 6144
6640, 6144, 3072
6640, 160, 6144
6879, 3584, 6144
6879, 6144, 3072
6879, 160, 6144
3443, 3584, 6144
3443, 6144, 3072
3443, 160, 6144
3523, 3584, 6144
3523, 6144, 3072
3523, 160, 6144
6443, 3584, 6144
6443, 6144, 3072
6443, 160, 6144
3294, 3584, 6144
3294, 6144, 3072
3294, 160, 6144
6630, 3584, 6144
6630, 6144, 3072
6630, 160, 6144
3343, 3584, 6144
3343, 6144, 3072
3343, 160, 6144
3189, 3584, 6144
3189, 6144, 3072
3189, 160, 6144
3489, 3584, 6144
3489, 6144, 3072
3489, 160, 6144
3157, 3584, 6144
3157, 6144, 3072
3157, 160, 6144
3286, 3584, 6144
3286, 6144, 3072
3286, 160, 6144
3630, 3584, 6144
3630, 6144, 3072
3630, 160, 6144
6543, 3584, 6144
6543, 6144, 3072
6543, 160, 6144
3475, 3584, 6144
3475, 6144, 3072
3475, 160, 6144
6787, 3584, 6144
6787, 6144, 3072
6787, 160, 6144
3599, 3584, 6144
3599, 6144, 3072
3599, 160, 6144
6825, 3584, 6144
6825, 6144, 3072
6825, 160, 6144
6885, 3584, 6144
6885, 6144, 3072
6885, 160, 6144
3155, 3584, 6144
3155, 6144, 3072
3155, 160, 6144
3395, 3584, 6144
3395, 6144, 3072
3395, 160, 6144
3381, 3584, 6144
3381, 6144, 3072
3381, 160, 6144
3529, 3584, 6144
3529, 6144, 3072
3529, 160, 6144
3446, 3584, 6144
3446, 6144, 3072
3446, 160, 6144
3256, 3584, 6144
3256, 6144, 3072
3256, 160, 6144
3336, 3584, 6144
3336, 6144, 3072
3336, 160, 6144
3393, 3584, 6144
3393, 6144, 3072
3393, 160, 6144
6747, 3584, 6144
6747, 6144, 3072
6747, 160, 6144
3252, 3584, 6144
3252, 6144, 3072
3252, 160, 6144
3346, 3584, 6144
3346, 6144, 3072
3346, 160, 6144
3469, 3584, 6144
3469, 6144, 3072
3469, 160, 6144
6475, 3584, 6144
6475, 6144, 3072
6475, 160, 6144
9960, 3584, 6144
9960, 6144, 3072
9960, 160, 6144
3361, 3584, 6144
3361, 6144, 3072
3361, 160, 6144
3182, 3584, 6144
3182, 6144, 3072
3182, 160, 6144
3321, 3584, 6144
3321, 6144, 3072
3321, 160, 6144
6581, 3584, 6144
6581, 6144, 3072
6581, 160, 6144
10394, 3584, 6144
10394, 6144, 3072
10394, 160, 6144
3497, 3584, 6144
3497, 6144, 3072
3497, 160, 6144
3303, 3584, 6144
3303, 6144, 3072
3303, 160, 6144
3335, 3584, 6144
3335, 6144, 3072
3335, 160, 6144
6629, 3584, 6144
6629, 6144, 3072
6629, 160, 6144
3145, 3584, 6144
3145, 6144, 3072
3145, 160, 6144
3570, 3584, 6144
3570, 6144, 3072
3570, 160, 6144
3560, 3584, 6144
3560, 6144, 3072
3560, 160, 6144
6352, 3584, 6144
6352, 6144, 3072
6352, 160, 6144
3310, 3584, 6144
3310, 6144, 3072
3310, 160, 6144
13472, 3584, 6144
13472, 6144, 3072
13472, 160, 6144
3287, 3584, 6144
3287, 6144, 3072
3287, 160, 6144
3185, 3584, 6144
3185, 6144, 3072
3185, 160, 6144
12889, 3584, 6144
12889, 6144, 3072
12889, 160, 6144
3305, 3584, 6144
3305, 6144, 3072
3305, 160, 6144
3389, 3584, 6144
3389, 6144, 3072
3389, 160, 6144
3105, 3584, 6144
3105, 6144, 3072
3105, 160, 6144
3472, 3584, 6144
3472, 6144, 3072
3472, 160, 6144
6661, 3584, 6144
6661, 6144, 3072
6661, 160, 6144
3409, 3584, 6144
3409, 6144, 3072
3409, 160, 6144
7044, 3584, 6144
7044, 6144, 3072
7044, 160, 6144
6655, 3584, 6144
6655, 6144, 3072
6655, 160, 6144
3338, 3584, 6144
3338, 6144, 3072
3338, 160, 6144
3379, 3584, 6144
3379, 6144, 3072
3379, 160, 6144
3550, 3584, 6144
3550, 6144, 3072
3550, 160, 6144
3627, 3584, 6144
3627, 6144, 3072
3627, 160, 6144
3488, 3584, 6144
3488, 6144, 3072
3488, 160, 6144
3239, 3584, 6144
3239, 6144, 3072
3239, 160, 6144
6976, 3584, 6144
6976, 6144, 3072
6976, 160, 6144
3590, 3584, 6144
3590, 6144, 3072
3590, 160, 6144
6526, 3584, 6144
6526, 6144, 3072
6526, 160, 6144
3235, 3584, 6144
3235, 6144, 3072
3235, 160, 6144
6845, 3584, 6144
6845, 6144, 3072
6845, 160, 6144
3337, 3584, 6144
3337, 6144, 3072
3337, 160, 6144
3453, 3584, 6144
3453, 6144, 3072
3453, 160, 6144
3202, 3584, 6144
3202, 6144, 3072
3202, 160, 6144
3646, 3584, 6144
3646, 6144, 3072
3646, 160, 6144
3196, 3584, 6144
3196, 6144, 3072
3196, 160, 6144
6595, 3584, 6144
6595, 6144, 3072
6595, 160, 6144
3555, 3584, 6144
3555, 6144, 3072
3555, 160, 6144
3662, 3584, 6144
3662, 6144, 3072
3662, 160, 6144
3459, 3584, 6144
3459, 6144, 3072
3459, 160, 6144
6692, 3584, 6144
6692, 6144, 3072
6692, 160, 6144
3376, 3584, 6144
3376, 6144, 3072
3376, 160, 6144
3418, 3584, 6144
3418, 6144, 3072
3418, 160, 6144
3616, 3584, 6144
3616, 6144, 3072
3616, 160, 6144
3416, 3584, 6144
3416, 6144, 3072
3416, 160, 6144
3465, 3584, 6144
3465, 6144, 3072
3465, 160, 6144
6968, 3584, 6144
6968, 6144, 3072
6968, 160, 6144
3442, 3584, 6144
3442, 6144, 3072
3442, 160, 6144
3270, 3584, 6144
3270, 6144, 3072
3270, 160, 6144
3285, 3584, 6144
3285, 6144, 3072
3285, 160, 6144
3178, 3584, 6144
3178, 6144, 3072
3178, 160, 6144
6672, 3584, 6144
6672, 6144, 3072
6672, 160, 6144
3628, 3584, 6144
3628, 6144, 3072
3628, 160, 6144
3617, 3584, 6144
3617, 6144, 3072
3617, 160, 6144
3264, 3584, 6144
3264, 6144, 3072
3264, 160, 6144
3098, 3584, 6144
3098, 6144, 3072
3098, 160, 6144
6903, 3584, 6144
6903, 6144, 3072
6903, 160, 6144
3576, 3584, 6144
3576, 6144, 3072
3576, 160, 6144
6324, 3584, 6144
6324, 6144, 3072
6324, 160, 6144
3141, 3584, 6144
3141, 6144, 3072
3141, 160, 6144
3689, 3584, 6144
3689, 6144, 3072
3689, 160, 6144
6551, 3584, 6144
6551, 6144, 3072
6551, 160, 6144
3211, 3584, 6144
3211, 6144, 3072
3211, 160, 6144
3515, 3584, 6144
3515, 6144, 3072
3515, 160, 6144
3153, 3584, 6144
3153, 6144, 3072
3153, 160, 6144
3366, 3584, 6144
3366, 6144, 3072
3366, 160, 6144
3260, 3584, 6144
3260, 6144, 3072
3260, 160, 6144
3455, 3584, 6144
3455, 6144, 3072
3455, 160, 6144
6441, 3584, 6144
6441, 6144, 3072
6441, 160, 6144
6753, 3584, 6144
6753, 6144, 3072
6753, 160, 6144
3406, 3584, 6144
3406, 6144, 3072
3406, 160, 6144
3342, 3584, 6144
3342, 6144, 3072
3342, 160, 6144
6538, 3584, 6144
6538, 6144, 3072
6538, 160, 6144
6387, 3584, 6144
6387, 6144, 3072
6387, 160, 6144
6627, 3584, 6144
6627, 6144, 3072
6627, 160, 6144
3405, 3584, 6144
3405, 6144, 3072
3405, 160, 6144
3507, 3584, 6144
3507, 6144, 3072
3507, 160, 6144
3414, 3584, 6144
3414, 6144, 3072
3414, 160, 6144
6569, 3584, 6144
6569, 6144, 3072
6569, 160, 6144
6477, 3584, 6144
6477, 6144, 3072
6477, 160, 6144
3351, 3584, 6144
3351, 6144, 3072
3351, 160, 6144
3532, 3584, 6144
3532, 6144, 3072
3532, 160, 6144
3466, 3584, 6144
3466, 6144, 3072
3466, 160, 6144
3168, 3584, 6144
3168, 6144, 3072
3168, 160, 6144
3622, 3584, 6144
3622, 6144, 3072
3622, 160, 6144
3681, 3584, 6144
3681, 6144, 3072
3681, 160, 6144
3574, 3584, 6144
3574, 6144, 3072
3574, 160, 6144
3371, 3584, 6144
3371, 6144, 3072
3371, 160, 6144
3238, 3584, 6144
3238, 6144, 3072
3238, 160, 6144
6817, 3584, 6144
6817, 6144, 3072
6817, 160, 6144
3504, 3584, 6144
3504, 6144, 3072
3504, 160, 6144
3398, 3584, 6144
3398, 6144, 3072
3398, 160, 6144
3417, 3584, 6144
3417, 6144, 3072
3417, 160, 6144
3457, 3584, 6144
3457, 6144, 3072
3457, 160, 6144
3208, 3584, 6144
3208, 6144, 3072
3208, 160, 6144
93, 37984, 6144
92, 37984, 6144
91, 37984, 6144
90, 37984, 6144
89, 37984, 6144
88, 37984, 6144
86, 37984, 6144
85, 37984, 6144
84, 37984, 6144
82, 37984, 6144
81, 37984, 6144
72, 37984, 6144
44, 37984, 6144
34, 37984, 6144
22, 37984, 6144
19, 37984, 6144
16, 37984, 6144
988, 3584, 6144
988, 6144, 3072
988, 160, 6144
36263, 3584, 6144
36263, 6144, 3072
36263, 160, 6144
123, 37984, 6144
205, 37984, 6144
45823, 3584, 6144
45823, 6144, 3072
45823, 160, 6144
256, 37984, 6144
255, 37984, 6144
1058, 3584, 6144
1058, 6144, 3072
1058, 160, 6144
1162, 3584, 6144
1162, 6144, 3072
1162, 160, 6144
1180, 3584, 6144
1180, 6144, 3072
1180, 160, 6144
1158, 3584, 6144
1158, 6144, 3072
1158, 160, 6144
1138, 3584, 6144
1138, 6144, 3072
1138, 160, 6144
254, 37984, 6144
1157, 3584, 6144
1157, 6144, 3072
1157, 160, 6144
1173, 3584, 6144
1173, 6144, 3072
1173, 160, 6144
1251, 3584, 6144
1251, 6144, 3072
1251, 160, 6144
